"gname","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Al-Qaida in the Arabian Peninsula (AQAP)",,,,,,,,1,,,,,,,,
"Anarchists",,,,,,,,,,,,1,1,1,,
"Animal Liberation Front (ALF)",2,9,1,1,2,1,3,1,4,1,,,,1,,
"Anti-Abortion extremists",,2,1,4,1,2,1,1,,,2,2,,1,,
"Anti-Arab extremists",,,,,,,,,,,,,,,,1
"Anti-Government extremists",18,,,,,,,,2,1,,1,7,1,,2
"Anti-Gun Control extremists",,,,,,,,,,,,3,,,,
"Anti-Israeli extremists",1,,,,,,,,,,,,,,,
"Anti-Kim Jong-il extremists",1,,,,,,,,,,,,,,,
"Anti-LGBT extremists",,,,,,,,,,,,,,,,4
"Anti-Liberal extremists",,,,,,,1,,,,,,,,,
"Anti-Muslim extremists",,,,,,,,,,,7,1,1,6,3,8
"Anti-Police extremists",,,,,,,,,,,,1,1,,4,1
"Anti-Republican extremists",,,,,,,,,,,,,,,,1
"Anti-Semitic extremists",,,,,1,,,1,,,2,,,,1,1
"Anti-Sikh extremists",,,,,,,,,,,,,,1,,
"Anti-Trump extremists",,,,,,,,,,,,,,,1,
"Anti-White extremists",,,,,,,,,,,,,,,3,3
"Black Hebrew Israelites",,,,,,,,,,,,,,,3,
"Citizens for Constitutional Freedom",,,,,,,,,,,,,,,1,
"Court Reform extremists",,,,,,,,,,,,,,,1,
"Earth Liberation Front (ELF)",7,13,4,7,1,3,1,1,,,,,,,,
"Environmentalists",,,,,,,,,,,,,,,,2
"Incel extremists",,,,,,,,,,,,,2,1,,
"Iraqi extremists",,,,,,,,,,,1,,,,,
"Jihadi-inspired extremists",2,,,,,,,3,5,,,,5,3,8,4
"Ku Klux Klan",,,,,,,1,,,,,,,,,3
"Minutemen American Defense",,,,,,,,1,,,,,,,,
"Muslim extremists",,1,,,1,,,,,,1,4,,3,1,2
"Neo-Nazi extremists",,,,,,,2,,,,,,,,,1
"Pro-LGBT Rights extremists",,,,,,,,,,,1,,,,,1
"Revolutionary Cells-Animal Liberation Brigade",,1,,,,1,,,,,,,,,,
"Right-wing extremists",,,,,,,,,,,,,,1,,1
"Sovereign Citizen",,,,,,,,,,,1,,2,1,,
"Students For Insurrection",,,,,,,,,,,,1,,,,
"Tehrik-i-Taliban Pakistan (TTP)",,,,,,,,,1,,,,,,,
"The Justice Department",,,,,,,,,1,,,,,,,
"United Aryan Empire",,,,,,,,,,,,,1,,,
"Unknown",2,6,2,9,,1,9,2,4,8,3,4,7,17,36,19
"Veterans United for Non-Religious Memorials",,,,,,,,,,,,2,,,,
"White extremists",,1,1,,,,,,,,2,,2,1,2,9
"White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia",,,,,,,,,,,,,,,,2
