eventid,ENVIRONMENTAL,LEFT.WING,RIGHT.WING,RIGHT.WING.SOVEREIGN,RIGHT.WING.ANTIGOV,RELIGIOUS,RELIGIOUS.CHRISTIAN,RELIGIOUS.JEWISH,RELIGIOUS.ISLAMIC,ISLAMIC.SHIA,ISLAMIC.SUNNI,NATIONALIST.SEPARATIST,SINGLE
201701020076,,1,,,,,,,,,,,1
201701060022,,,,,,1,,,1,,,,
201701070015,,,1,,,,,,,,,,1
201701070022,,,,,,,,,,,,,1
201701140040,,,1,,,,,,,,,,1
201701200055,,,1,,,,,,,,,,1
201701280038,,,1,,,1,,,,,,,1
201701310059,,,,,,1,,,1,1,,,1
201702060025,,,1,,,,,,,,,,
201702100037,,,1,,,,,,,,,,
201702220017,,,1,,,,,,,,,,
201702240020,,,1,,,,,,,,,,1
201702280022,,,,,,,,,,,,,1
201702280023,,,,,,,,,,,,,1
201702280024,,,,,,,,,,,,,1
201703030012,,,1,,,,,,,,,,1
201703100045,,,1,,,,,,,,,,1
201703200041,,,1,,,,,,,,,,1
201703220053,,1,,,,,,,,,,,1
201704060031,,,1,,,,,,,,,,
201704130023,,1,,,,1,,,1,,,,1
201704180060,,1,,,,1,,,1,,,,1
201704240032,,,1,,,,,,,,,,1
201704270028,,,1,,,,,,,,,,1
201704270029,,,1,,,,,,,,,,1
201704280023,,,1,,,,,,,,,,1
201704280029,,,1,,,,,,,,,,
201705190057,,,1,,,1,,,1,,,,1
201705190058,,,1,,,1,,,1,,,,1
201705200043,,,1,,,,,,,,,,
201705260026,,,1,,,,,,,,,,1
201705260036,,,1,,,,,,,,,,1
201705290065,,,,,,,,,,,,,1
201705300053,,,1,,,,,,,,,,
201706080047,,,1,,,,,,,,,,
201706090049,,,1,,,,,,,,,,
201706140029,,1,,,,,,,,,,,1
201706210022,,,,,,1,,,1,,,,
201706260019,,,1,,,,,,,,,,
201707050048,,,,,,,,,,,,,1
201707070026,,,1,,,,,,,,,,
201707080029,,,,,,,,,,,,,1
201707090044,1,1,,,,,,,,,,,
201707130061,1,1,,,,,,,,,,,
201708040042,,,1,,,,,,,,,,
201708050005,,,1,,1,,,,,,,,
201708120052,,,1,,,,,,,,,,
201708190026,,1,,,,,,,,,,,1
201709110044,,,1,,,,,,,,,,
201709120031,,,1,,,,,,,,,,
201709140041,,,1,,,,,,,,,,
201709240018,,1,,,,,,,,,,,1
201710010018,,,,,,,,,,,,,1
201710060013,,,,,,,,,,,,1,
201710080028,,,1,,,,,,,,,,
201710220035,,,1,,,,,,,,,,
201710280037,,,1,,,,,,,,,,
201710310017,,,,,,1,,,1,,,,
201710310042,,,1,,,,,,,,,,
201711070054,,,1,,1,,,,,,,,
201711130042,,1,,,,,,,,,,,
201712070037,,,1,,,,,,,,,,
201712110001,,,,,,1,,,1,,,,
201712220022,,,,,,,,,,,,,1
201712220023,,,,,,,,,,,,,1
197209200026,,,,,,,,,,,,1,
197209200027,,,,,,,,,,,,1,
197209200028,,,,,,,,,,,,1,
197209280011,,,,,,,,,,,,1,
198112190008,,,1,,,,,,,,,,
199512080005,,,,,,,,,,,,,1
199801260002,,,,,,,,,,,,,1
200308280002,1,,,,,,,,,,,,
200501090004,,,,,,1,1,,,,,,
200905310019,,,,,,1,,,1,,,,
201201080031,,,,,,1,,,1,,,,
201404120086,,,,,1,,,,,,,,
201405230122,,,1,,,,,,,,,,
201405230123,,,1,,,,,,,,,,
201510010095,,,1,,,,,,,,,,
201606190050,,,,,,,,,,,,,1
201607060034,,,,,,1,,,,,,,
201611080059,1,1,,,,,,,,,,,
