eventid,category
200201050007,islamist extremism
200201260004,left-wing
200202040010,other/unknown
200203240005,left-wing
200205030007,other/unknown
200205030008,other/unknown
200205030009,other/unknown
200205030010,other/unknown
200205030011,other/unknown
200205030012,other/unknown
200205030013,other/unknown
200205030014,other/unknown
200205030015,left-wing
200205040005,other/unknown
200205040006,other/unknown
200205040007,other/unknown
200205040008,other/unknown
200205040009,other/unknown
200205040010,other/unknown
200205040011,other/unknown
200205060005,other/unknown
200205060006,other/unknown
200205070002,other/unknown
200205130001,islamist extremism
200206030002,other/unknown
200206030003,other/unknown
200207100001,left-wing
200208110011,left-wing
200208180001,left-wing
200209020005,left-wing
200209210002,left-wing
200210030002,other/unknown
200211260005,left-wing
200301010016,left-wing
200301200008,left-wing
200303030004,left-wing
200303100006,left-wing
200303110010,left-wing
200303110011,left-wing
200303110012,left-wing
200303170005,other/unknown
200303210008,left-wing
200303210009,left-wing
200303220010,left-wing
200303290006,left-wing
200303310004,islamist extremism
200304140008,left-wing
200305040005,other/unknown
200305250005,right-wing
200306010004,left-wing
200306030003,left-wing
200306050002,left-wing
200308010002,left-wing
200308220001,left-wing
200308280001,left-wing
200308280002,left-wing
200309060004,right-wing
200309220003,left-wing
200309240007,other/unknown
200309260005,left-wing
200309290003,left-wing
200309290004,left-wing
200310150003,other/unknown
200310250002,other/unknown
200311120005,other/unknown
200311180007,right-wing
200402020010,other/unknown
200402070001,left-wing
200404010004,right-wing
200404200008,left-wing
200406140004,left-wing
200407020005,right-wing
200407080004,left-wing
200412090005,other/unknown
200412270004,left-wing
200501010007,other/unknown
200501090004,right-wing
200501120006,left-wing
200502070008,left-wing
200502130002,other/unknown
200502150001,other/unknown
200502170002,other/unknown
200503140003,other/unknown
200503190014,right-wing
200503300004,right-wing
200504130004,other/unknown
200504130009,left-wing
200504130010,left-wing
200505050002,other/unknown
200507040009,right-wing
200507080006,other/unknown
200509000001,left-wing
200511200004,left-wing
200511290003,left-wing
200511290004,left-wing
200512200004,other/unknown
200601170007,left-wing
200603030013,islamist extremism
200606300004,left-wing
200607120007,left-wing
200607280004,right-wing
200609110007,right-wing
200703180002,left-wing
200703200003,left-wing
200703210007,left-wing
200704250006,right-wing
200705090002,right-wing
200706240004,left-wing
200710200003,left-wing
200710260003,other/unknown
200802050002,left-wing
200802090004,right-wing
200802170007,right-wing
200802170011,other/unknown
200803020012,left-wing
200803060004,other/unknown
200804070005,other/unknown
